psa,offense,crime_count
707,ROBBERY,76
707,MOTOR VEHICLE THEFT,63
707,BURGLARY,61
707,HOMICIDE,14
707,SEX ABUSE,9
707,ARSON,0
708,THEFT F/AUTO,140
708,THEFT/OTHER,114
708,ASSAULT W/DANGEROUS WEAPON,75
708,MOTOR VEHICLE THEFT,67
708,ROBBERY,66
708,BURGLARY,41
708,HOMICIDE,17
708,SEX ABUSE,13
708,ARSON,0
