psa,offense,crime_count
204,THEFT/OTHER,288
204,THEFT F/AUTO,135
204,MOTOR VEHICLE THEFT,29
204,BURGLARY,28
204,ROBBERY,10
204,ASSAULT W/DANGEROUS WEAPON,9
204,SEX ABUSE,4
204,HOMICIDE,1
204,ARSON,0
205,THEFT F/AUTO,103
205,THEFT/OTHER,74
205,BURGLARY,23
205,MOTOR VEHICLE THEFT,21
205,ASSAULT W/DANGEROUS WEAPON,7
205,ROBBERY,4
205,ARSON,0
205,HOMICIDE,0
206,THEFT/OTHER,693
206,THEFT F/AUTO,183
206,BURGLARY,45
206,MOTOR VEHICLE THEFT,34
206,ROBBERY,28
206,ASSAULT W/DANGEROUS WEAPON,14
206,SEX ABUSE,10
206,HOMICIDE,1
206,ARSON,0
207,THEFT/OTHER,877
207,THEFT F/AUTO,313
207,MOTOR VEHICLE THEFT,67
207,BURGLARY,50
207,ROBBERY,45
207,ASSAULT W/DANGEROUS WEAPON,44
207,SEX ABUSE,12
207,HOMICIDE,2
207,ARSON,0
208,THEFT F/AUTO,687
208,THEFT/OTHER,597
208,BURGLARY,86
208,ROBBERY,52
208,MOTOR VEHICLE THEFT,45
208,ASSAULT W/DANGEROUS WEAPON,42
208,SEX ABUSE,8
208,ARSON,0
208,HOMICIDE,0
209,THEFT/OTHER,587
209,THEFT F/AUTO,217
209,ROBBERY,37
209,MOTOR VEHICLE THEFT,30
209,ASSAULT W/DANGEROUS WEAPON,15
209,BURGLARY,12
209,SEX ABUSE,6
209,ARSON,0
209,HOMICIDE,0
301,THEFT F/AUTO,315
301,THEFT/OTHER,233
301,BURGLARY,38
301,MOTOR VEHICLE THEFT,30
301,ASSAULT W/DANGEROUS WEAPON,18
301,ROBBERY,16
301,SEX ABUSE,4
301,ARSON,0
301,HOMICIDE,0
302,THEFT/OTHER,607
302,THEFT F/AUTO,370
302,ROBBERY,110
302,BURGLARY,42
302,ASSAULT W/DANGEROUS WEAPON,39
302,MOTOR VEHICLE THEFT,35
302,SEX ABUSE,10
302,HOMICIDE,2
302,ARSON,0
303,THEFT/OTHER,333
303,THEFT F/AUTO,273
303,BURGLARY,56
303,ROBBERY,46
303,MOTOR VEHICLE THEFT,43
303,ASSAULT W/DANGEROUS WEAPON,28
303,SEX ABUSE,6
303,HOMICIDE,2
303,ARSON,0
304,THEFT F/AUTO,408
304,THEFT/OTHER,215
304,ROBBERY,54
304,MOTOR VEHICLE THEFT,51
304,ASSAULT W/DANGEROUS WEAPON,40
304,BURGLARY,33
304,SEX ABUSE,7
304,HOMICIDE,1
304,ARSON,0
305,THEFT F/AUTO,785
305,THEFT/OTHER,318
305,ROBBERY,66
305,MOTOR VEHICLE THEFT,51
305,BURGLARY,40
305,ASSAULT W/DANGEROUS WEAPON,22
305,SEX ABUSE,5
305,ARSON,0
305,HOMICIDE,0
306,THEFT F/AUTO,295
306,THEFT/OTHER,211
306,ROBBERY,58
306,MOTOR VEHICLE THEFT,41
306,BURGLARY,33
306,ASSAULT W/DANGEROUS WEAPON,16
306,SEX ABUSE,8
306,HOMICIDE,1
306,ARSON,0
307,THEFT F/AUTO,677
307,THEFT/OTHER,292
307,ROBBERY,56
307,BURGLARY,45
307,MOTOR VEHICLE THEFT,33
307,ASSAULT W/DANGEROUS WEAPON,26
307,SEX ABUSE,8
307,HOMICIDE,1
307,ARSON,0
308,THEFT F/AUTO,323
308,THEFT/OTHER,260
308,BURGLARY,87
308,ROBBERY,84
308,MOTOR VEHICLE THEFT,60
308,ASSAULT W/DANGEROUS WEAPON,38
308,SEX ABUSE,9
308,HOMICIDE,2
308,ARSON,0
401,THEFT F/AUTO,223
401,THEFT/OTHER,117
401,ROBBERY,43
401,BURGLARY,35
401,MOTOR VEHICLE THEFT,31
401,ASSAULT W/DANGEROUS WEAPON,20
401,SEX ABUSE,6
401,HOMICIDE,1
401,ARSON,0
402,THEFT F/AUTO,241
402,THEFT/OTHER,228
402,ROBBERY,55
402,MOTOR VEHICLE THEFT,47
402,BURGLARY,27
402,ASSAULT W/DANGEROUS WEAPON,18
402,SEX ABUSE,4
402,ARSON,0
402,HOMICIDE,0
403,THEFT F/AUTO,179
403,THEFT/OTHER,141
403,MOTOR VEHICLE THEFT,58
403,ROBBERY,53
403,ASSAULT W/DANGEROUS WEAPON,39
403,BURGLARY,29
403,HOMICIDE,6
403,SEX ABUSE,3
403,ARSON,0
404,THEFT/OTHER,258
404,THEFT F/AUTO,247
404,ROBBERY,51
404,BURGLARY,39
404,MOTOR VEHICLE THEFT,34
404,ASSAULT W/DANGEROUS WEAPON,30
404,SEX ABUSE,8
404,ARSON,0
404,HOMICIDE,0
405,THEFT/OTHER,132
405,THEFT F/AUTO,108
405,MOTOR VEHICLE THEFT,48
405,ROBBERY,37
405,ASSAULT W/DANGEROUS WEAPON,34
405,BURGLARY,23
405,SEX ABUSE,9
405,HOMICIDE,1
405,ARSON,0
406,THEFT F/AUTO,205
406,THEFT/OTHER,174
406,MOTOR VEHICLE THEFT,32
406,ASSAULT W/DANGEROUS WEAPON,28
406,ROBBERY,28
406,BURGLARY,18
406,SEX ABUSE,3
406,HOMICIDE,2
406,ARSON,0
407,THEFT F/AUTO,149
407,THEFT/OTHER,112
407,ROBBERY,45
407,MOTOR VEHICLE THEFT,39
407,ASSAULT W/DANGEROUS WEAPON,34
407,BURGLARY,29
407,HOMICIDE,4
407,SEX ABUSE,4
407,ARSON,0
408,THEFT F/AUTO,157
408,THEFT/OTHER,98
408,ROBBERY,42
408,BURGLARY,28
408,ASSAULT W/DANGEROUS WEAPON,18
408,MOTOR VEHICLE THEFT,18
408,SEX ABUSE,2
408,HOMICIDE,1
408,ARSON,0
409,THEFT F/AUTO,235
409,THEFT/OTHER,161
409,ROBBERY,28
409,MOTOR VEHICLE THEFT,23
409,ASSAULT W/DANGEROUS WEAPON,21
409,BURGLARY,15
409,SEX ABUSE,3
409,ARSON,0
409,HOMICIDE,0
501,THEFT F/AUTO,303
501,THEFT/OTHER,240
501,ROBBERY,59
501,MOTOR VEHICLE THEFT,54
501,BURGLARY,34
501,ASSAULT W/DANGEROUS WEAPON,23
501,SEX ABUSE,11
501,ARSON,0
501,HOMICIDE,0
502,THEFT/OTHER,207
502,THEFT F/AUTO,159
502,BURGLARY,74
502,ROBBERY,71
502,ASSAULT W/DANGEROUS WEAPON,52
502,MOTOR VEHICLE THEFT,52
502,SEX ABUSE,9
502,HOMICIDE,1
502,ARSON,0
503,THEFT F/AUTO,302
503,THEFT/OTHER,211
503,MOTOR VEHICLE THEFT,73
503,ROBBERY,48
503,ASSAULT W/DANGEROUS WEAPON,41
503,BURGLARY,39
503,SEX ABUSE,6
503,HOMICIDE,2
503,ARSON,0
504,THEFT F/AUTO,258
504,THEFT/OTHER,150
504,ROBBERY,52
504,BURGLARY,46
504,MOTOR VEHICLE THEFT,36
504,ASSAULT W/DANGEROUS WEAPON,24
504,SEX ABUSE,5
504,ARSON,0
504,HOMICIDE,0
505,THEFT/OTHER,328
505,THEFT F/AUTO,110
505,ROBBERY,51
505,MOTOR VEHICLE THEFT,41
505,ASSAULT W/DANGEROUS WEAPON,37
505,BURGLARY,21
505,SEX ABUSE,3
505,HOMICIDE,2
505,ARSON,0
506,THEFT/OTHER,283
506,THEFT F/AUTO,180
506,ASSAULT W/DANGEROUS WEAPON,105
506,ROBBERY,98
506,MOTOR VEHICLE THEFT,68
506,BURGLARY,51
506,SEX ABUSE,14
506,HOMICIDE,4
506,ARSON,0
507,THEFT/OTHER,259
507,THEFT F/AUTO,123
507,ASSAULT W/DANGEROUS WEAPON,110
507,ROBBERY,102
507,BURGLARY,92
507,MOTOR VEHICLE THEFT,76
507,HOMICIDE,5
507,SEX ABUSE,5
507,ARSON,0
601,THEFT/OTHER,58
601,MOTOR VEHICLE THEFT,52
601,ASSAULT W/DANGEROUS WEAPON,44
601,THEFT F/AUTO,44
601,ROBBERY,36
601,BURGLARY,9
601,HOMICIDE,6
601,SEX ABUSE,2
601,ARSON,0
602,THEFT/OTHER,276
602,THEFT F/AUTO,189
602,MOTOR VEHICLE THEFT,129
602,ROBBERY,111
602,ASSAULT W/DANGEROUS WEAPON,84
602,BURGLARY,53
602,SEX ABUSE,12
602,HOMICIDE,7
602,ARSON,0
603,THEFT/OTHER,328
603,ROBBERY,119
603,THEFT F/AUTO,116
603,MOTOR VEHICLE THEFT,111
603,BURGLARY,93
603,ASSAULT W/DANGEROUS WEAPON,77
603,SEX ABUSE,11
603,HOMICIDE,8
603,ARSON,0
604,THEFT/OTHER,187
604,THEFT F/AUTO,168
604,MOTOR VEHICLE THEFT,105
604,ASSAULT W/DANGEROUS WEAPON,96
604,BURGLARY,85
604,ROBBERY,83
604,HOMICIDE,8
604,SEX ABUSE,6
604,ARSON,0
605,THEFT/OTHER,134
605,THEFT F/AUTO,97
605,MOTOR VEHICLE THEFT,64
605,ROBBERY,49
605,BURGLARY,29
605,ASSAULT W/DANGEROUS WEAPON,28
605,SEX ABUSE,6
605,HOMICIDE,1
605,ARSON,0
606,THEFT/OTHER,129
606,THEFT F/AUTO,78
606,MOTOR VEHICLE THEFT,42
606,ROBBERY,30
606,ASSAULT W/DANGEROUS WEAPON,22
606,BURGLARY,20
606,SEX ABUSE,3
606,HOMICIDE,2
606,ARSON,0
607,THEFT/OTHER,173
607,THEFT F/AUTO,155
607,ASSAULT W/DANGEROUS WEAPON,81
607,MOTOR VEHICLE THEFT,63
607,ROBBERY,62
607,BURGLARY,43
607,SEX ABUSE,8
607,HOMICIDE,5
607,ARSON,1
608,THEFT/OTHER,174
608,THEFT F/AUTO,101
608,ROBBERY,89
608,MOTOR VEHICLE THEFT,72
608,ASSAULT W/DANGEROUS WEAPON,68
608,BURGLARY,36
608,HOMICIDE,7
608,SEX ABUSE,7
608,ARSON,0
701,THEFT/OTHER,173
701,THEFT F/AUTO,67
701,ROBBERY,57
701,ASSAULT W/DANGEROUS WEAPON,52
701,MOTOR VEHICLE THEFT,24
701,BURGLARY,18
701,SEX ABUSE,6
701,HOMICIDE,4
701,ARSON,0
702,THEFT/OTHER,146
702,ASSAULT W/DANGEROUS WEAPON,49
702,THEFT F/AUTO,43
702,ROBBERY,38
702,MOTOR VEHICLE THEFT,32
702,BURGLARY,31
702,SEX ABUSE,5
702,HOMICIDE,4
702,ARSON,0
703,THEFT/OTHER,119
703,THEFT F/AUTO,95
703,ROBBERY,83
703,ASSAULT W/DANGEROUS WEAPON,82
703,MOTOR VEHICLE THEFT,47
703,BURGLARY,44
703,HOMICIDE,10
703,SEX ABUSE,10
703,ARSON,0
704,THEFT/OTHER,177
704,THEFT F/AUTO,95
704,ASSAULT W/DANGEROUS WEAPON,83
704,MOTOR VEHICLE THEFT,70
704,ROBBERY,68
704,BURGLARY,59
704,HOMICIDE,7
704,SEX ABUSE,6
704,ARSON,2
705,THEFT/OTHER,76
705,THEFT F/AUTO,63
705,ROBBERY,61
705,ASSAULT W/DANGEROUS WEAPON,45
705,MOTOR VEHICLE THEFT,35
705,BURGLARY,21
705,SEX ABUSE,5
705,ARSON,0
706,THEFT/OTHER,100
706,THEFT F/AUTO,97
706,ASSAULT W/DANGEROUS WEAPON,80
706,MOTOR VEHICLE THEFT,59
706,ROBBERY,59
706,BURGLARY,34
706,HOMICIDE,8
706,SEX ABUSE,3
706,ARSON,0
707,THEFT/OTHER,136
707,ASSAULT W/DANGEROUS WEAPON,70
707,THEFT F/AUTO,68
707,ROBBERY,41
707,MOTOR VEHICLE THEFT,38
707,BURGLARY,28
707,SEX ABUSE,8
707,HOMICIDE,2
707,ARSON,0
708,THEFT/OTHER,154
708,THEFT F/AUTO,131
708,ASSAULT W/DANGEROUS WEAPON,61
708,MOTOR VEHICLE THEFT,48
708,ROBBERY,47
708,BURGLARY,34
708,SEX ABUSE,7
708,HOMICIDE,6
708,ARSON,0
